Num	ROI_Start	ROI_End	Peak_Centroid	Energy_keV	FWHM_keV	Net_Area	Net_Area_Ucert	Continuum_Counts
1	-9	61	26.09	6.54	2.24	1.03E+05	375.73	1.21E+04
2	-9	61	37.42	9.37	2.26	1.09E+05	398.02	2.52E+04
3	-9	61	49.87	12.49	2.27	1.16E+05	405.24	3.72E+04
4	-177	196	186.86	46.72	0.84	2.04E+03	276.18	2.12E+04
5	-208	221	214.76	53.69	0.86	1.87E+03	209.28	1.52E+04
6	-244	259	254.05	63.51	0.89	3.02E+03	239.82	1.82E+04
7	-295	317	300.68	75.16	0.83	9.43E+02	101.53	1.45E+04
8	-295	317	309.24	77.3	0.83	1.03E+03	103.67	1.46E+04
9	-330	403	338	84.48	1.13	9.37E+02	113.41	1.97E+04
10	-330	403	349.87	87.45	1.14	7.14E+02	102.28	2.00E+04
11	-330	403	371.31	92.81	1.14	6.84E+03	159.45	2.21E+04
12	-330	403	394.72	98.66	1.15	6.17E+02	117	2.28E+04
13	-415	429	421.86	105.44	0.69	1.67E+02	262.15	2.38E+04
14	-523	551	527.95	131.95	0.87	2.97E+02	105.52	1.79E+04
15	-523	551	545.07	136.23	0.87	6.76E+02	121.97	1.95E+04
16	-567	586	575.88	143.93	0.98	8.88E+02	331.87	3.12E+04
17	-739	749	743.8	185.89	0.9	3.36E+03	193.79	1.43E+04
18	-790	801	794.62	198.59	0.68	3.89E+02	192.9	1.47E+04
19	-834	850	838.7	209.6	0.9	1.81E+02	249.29	1.98E+04
20	-950	974	955.21	238.71	1.05	3.20E+03	116.6	1.16E+04
21	-950	974	968.86	242.13	1.05	5.02E+02	87.47	1.22E+04
22	-1176	1188	1181.67	295.3	1.2	1.37E+03	158.2	8.97E+03
23	-1308	1318	1312.34	327.96	1.05	2.34E+02	126.67	6.62E+03
24	-1347	1358	1353.73	338.3	1.11	1.03E+03	133.76	6.73E+03
25	-1402	1418	1408.24	351.92	1.16	2.62E+03	174.5	8.84E+03
26	-1845	1864	1852.3	462.88	1.23	4.17E+02	156.61	6.87E+03
27	-2031	2056	2044.22	510.84	2.38	1.23E+04	219.85	8.48E+03
28	-2324	2345	2333.21	583.06	1.25	2.23E+03	150.41	5.42E+03
29	-2372	2395	2384.11	595.77	1.39	1.52E+03	153.73	5.52E+03
30	-2424	2448	2437.8	609.19	1.2	3.55E+03	164.78	5.72E+03
31	-2527	2545	2539.65	634.64	1.25	2.95E+02	116.52	3.93E+03
32	-2901	2919	2909.78	727.13	1.32	5.99E+02	107.26	3.23E+03
33	-3061	3085	3074.34	768.25	1.35	4.56E+02	129.21	3.93E+03
34	-3168	3188	3180.75	794.84	0.9	2.67E+02	107.2	3.09E+03
35	-3430	3452	3442.35	860.21	1.8	2.82E+02	110.14	3.05E+03
36	-3635	3657	3645.86	911.07	1.5	2.21E+03	114.51	2.81E+03
37	-3730	3746	3736.9	933.81	0.96	1.71E+02	81.6	2.07E+03
38	-3850	3890	3860.14	964.61	1.54	3.95E+02	42.03	2.34E+03
39	-3850	3890	3877.27	968.89	1.54	1.35E+03	56.06	2.11E+03
40	-3996   4017 4005.89 1001.03 1.49 2.25E+002 94.73 2.33E+003	
41	-4308	4322	4315.31	1078.35	1.19	1.30E+02	63.27	1.34E+03
42	-4474	4491	4483.03	1120.26	1.6	1.03E+03	84.51	1.88E+03
43	-4685	4703	4695.57	1173.37	1.24	2.61E+02	78.65	1.75E+03
44	-4727	4743	4733.69	1182.89	0.38	7.98E+01	68.63	1.48E+03
45	-4944	4966	4954.92	1238.18	1.61	5.56E+02	89.87	1.94E+03
46	-5325	5343	5332.57	1332.55	1.34	2.56E+02	62.6	1.08E+03
47	-5506	5522	5513.76	1377.82	1.81	3.81E+02	53.62	7.97E+02
48	-5621	5644	5635.88	1408.34	2	2.74E+02	65.9	1.02E+03
49	-5832	5861	5846.92	1461.07	1.88	1.62E+04	148.28	1.21E+03
50	-5981	5994	5988.67	1496.49	1.47	7.06E+01	36.92	4.69E+02
51	-6031	6051	6040.4	1509.42	1.67	1.35E+02	52.67	7.26E+02
52	-6347	6388	6356.93	1588.51	1.82	2.68E+02	27.16	6.48E+02
53	-6347	6388	6374.53	1592.91	1.82	4.90E+02	32.27	6.82E+02
54	-6479	6496	6488.22	1621.32	1.6	1.15E+02	40.84	4.77E+02
55	-6520	6538	6528.12	1631.29	0.52	1.64E+02	41.9	4.70E+02
56	-6640	6657	6650.02	1661.75	0.48	2.99E+01	40	4.82E+02
57	-6911	6934	6923.68	1730.14	1.14	2.98E+02	47	4.77E+02
58	-7052	7078	7063.6	1765.1	1.75	1.56E+03	64.37	5.87E+02
59	-7386	7403	7395.5	1848.04	2.16	1.80E+02	37.82	3.83E+02
