Num	ROI_Start	ROI_End	Peak_Centroid	Energy_keV	FWHM_keV	Net_Area	Net_Area_Ucert	Continuum_Counts
1	-9	59	25.47	6.31	2.02	1.11E+05	379.7	1.21E+04
2	-9	59	36.1	8.97	2.04	1.28E+05	415.24	2.78E+04
3	-9	59	48.38	12.04	2.05	1.34E+05	424.57	4.26E+04
4	-179	195	185.6	46.34	1.28	4.92E+03	282.88	2.39E+04
5	-207	225	214.74	53.63	0.88	2.59E+04	340.05	2.64E+04
6	-243	259	254.16	63.48	0.85	3.49E+03	279.34	2.38E+04
7	-290	315	300.75	75.13	0.82	1.11E+03	110.68	1.76E+04
8	-290	315	309.49	77.32	0.82	1.20E+03	114.86	1.79E+04
9	-332	404	337.94	84.43	1.13	1.14E+03	123.9	2.23E+04
10	-332	404	349.68	87.36	1.13	9.66E+02	132.12	2.61E+04
11	-332	404	360.62	90.1	1.13	7.28E+02	137.78	2.65E+04
12	-332	404	371.43	92.8	1.13	9.19E+03	191.63	2.71E+04
13	-332	404	392.97	98.18	1.14	5.74E+02	127.73	2.61E+04
14	-444	458	452.58	113.09	0.77	4.72E+02	294.89	3.00E+04
15	-477	492	485.55	121.33	0.96	2.62E+03	314.87	3.21E+04
16	-538	555	545.04	136.2	0.89	8.45E+03	352.32	3.54E+04
17	-571	581	576.22	144	0.72	5.23E+02	226.38	2.13E+04
18	-649	662	653.99	163.44	0.64	3.29E+02	261.79	2.47E+04
19	-736	751	743.77	185.89	0.93	4.15E+03	288.31	2.63E+04
20	-785	801	794.56	198.58	0.62	2.64E+02	285.11	2.59E+04
21	-949	979	955.32	238.77	1.03	3.64E+03	129.15	1.59E+04
22	-949	979	967.57	241.83	1.03	8.49E+02	97.13	1.52E+04
23	-1051	1086	1059.49	264.81	1.06	5.32E+03	129.74	1.34E+04
24	-1051	1086	1080.64	270.1	1.06	3.21E+02	89.57	1.30E+04
25	-1111	1130	1118.93	279.67	1.05	1.94E+03	263.96	1.93E+04
26	-1174	1193	1181.66	295.36	0.97	1.53E+03	252.46	1.77E+04
27	-1348	1362	1353.96	338.43	1.02	6.03E+02	183.76	1.15E+04
28	-1402	1420	1408.31	352.02	1.14	2.54E+03	214.74	1.28E+04
29	-1596	1611	1603.31	400.77	1.36	8.46E+02	167.6	9.03E+03
30	-1634	1646	1639.37	409.78	0.35	2.22E+02	137.64	7.11E+03
31	-1841	1887	1851.45	462.8	3.53	7.49E+02	109.85	1.30E+04
32	-1841	1887	1879.27	469.76	3.53	3.86E+02	98.63	1.20E+04
33	-1916	1926	1921.13	480.22	0.48	1.09E+02	102.79	4.38E+03
34	-2032	2057	2044.63	511.1	2.5	4.59E+04	304.58	1.10E+04
35	-2272	2288	2280.26	570	1.39	1.72E+02	127.91	5.16E+03
36	-2325	2345	2333.65	583.35	1.33	2.40E+03	155.53	5.98E+03
37	-2372	2396	2384.33	596.02	1.33	2.32E+04	228.06	6.98E+03
38	-2427	2449	2438.01	609.44	1.29	3.68E+03	165.52	6.11E+03
39	-2512	2552	2521	630.19	1.38	2.45E+02	51.54	4.35E+03
40	-2512	2552	2539.83	634.9	1.38	5.69E+03	96.32	4.29E+03
41	-2903	2922	2910.64	727.6	1.2	5.04E+02	118.98	3.88E+03
42	-3062	3098	3074.78	768.63	1.63	4.76E+02	56.95	3.80E+03
43	-3062	3098	3089.75	772.38	1.63	2.63E+02	50.49	3.55E+03
44	-3131	3153	3144.54	786.07	1.37	3.40E+02	125.7	3.98E+03
45	-3172	3189	3180.76	795.13	0.72	2.47E+02	102.13	3.13E+03
46	-3206	3221	3214.18	803.48	0.39	2.30E+02	92.74	2.78E+03
47	-3332	3349	3337.77	834.38	1.22	1.09E+03	105.88	3.09E+03
48	-3434	3454	3444.23	860.99	1.39	4.73E+02	112.17	3.32E+03
49	-3635	3659	3646.23	911.49	1.55	2.54E+03	132.24	3.62E+03
50	-3731	3746	3737.59	934.33	1.13	8.06E+01	82.99	2.26E+03
51	-3852	3891	3860.52	965.07	1.53	3.76E+02	44.23	2.45E+03
52	-3852	3891	3877.84	969.4	1.53	1.55E+03	59.39	2.45E+03
53	-3996	4015	4006.76	1001.63	1.3	3.03E+02	94.41	2.46E+03
54	-4454	4494	4464.54	1116.07	1.59	2.78E+03	66.81	2.12E+03
55	-4454	4494	4483.5	1120.81	1.59	1.38E+03	52.55	2.14E+03
56	-4684	4707	4695.58	1173.83	1.31	5.26E+02	98	2.26E+03
57	-4947	4966	4954.94	1238.67	1.38	5.16E+02	86.7	1.99E+03
58	-5118	5132	5126.14	1281.47	0.47	1.97E+02	56.99	1.06E+03
59	-5280	5293	5285.88	1321.4	0.44	8.52E+00	50.98	9.37E+02
60	-5324	5342	5333.72	1333.36	1.52	2.64E+02	65.57	1.19E+03
61	-5501	5528	5514.17	1378.47	1.6	5.75E+02	83.92	1.44E+03
62	-5600	5645	5610.73	1402.61	1.68	1.44E+02	28.53	1.04E+03
63	-5600	5645	5635.9	1408.91	1.69	2.72E+02	33.84	1.09E+03
64	-5833	5861	5847.58	1461.83	1.9	1.78E+04	155.03	1.35E+03
65	-6031	6049	6041.63	1510.34	1.47	2.27E+02	51.45	7.17E+02
66	-6349	6388	6357.4	1589.28	1.99	3.45E+02	29.5	6.77E+02
67	-6349	6388	6375.35	1593.77	1.99	5.39E+02	34.65	8.49E+02
68	-6479	6498	6488.73	1622.11	0.64	1.25E+02	50.95	7.05E+02
69	-6518	6536	6527.39	1631.78	0.64	2.14E+02	45.31	5.41E+02
70	-6643	6658	6651.19	1662.73	0.62	4.02E+01	38.78	4.88E+02
71	-6914	6937	6924.48	1731.05	1.58	2.88E+02	54.11	6.59E+02
72	-7049	7077	7064.47	1766.05	1.84	1.81E+03	71.5	7.12E+02
73	-7386	7406	7397.54	1849.31	1.61	2.40E+02	46.18	5.22E+02
