Num	ROI_Start	ROI_End	Peak_Centroid	Energy_keV	FWHM_keV	Net_Area	Net_Area_Ucert	Continuum_Counts
1	-13	60	28.4	6.83	1.44	3.64E+04	176.14	7.54E+03
2	-13	60	39.13	9.51	1.46	6.41E+04	227	1.67E+04
3	-13	60	50.76	12.42	1.47	5.07E+04	211.83	2.91E+04
4	-140	150	145.64	36.15	0.92	2.74E+02	169.61	1.19E+04
5	-164	191	175.06	43.51	0.86	4.55E+02	82.99	1.56E+04
6	-164	191	184.7	45.92	0.86	1.56E+04	150.79	1.69E+04
7	-204	223	214.73	53.43	0.88	8.67E+04	412.53	2.37E+04
8	-248	270	253.98	63.25	0.9	1.47E+03	90.46	1.25E+04
9	-248	270	265.41	66.1	0.91	3.47E+02	80.73	1.38E+04
10	-296	318	300.33	74.84	0.74	5.91E+02	83.95	9.86E+03
11	-296	318	309.61	77.16	0.74	4.18E+02	79.28	1.21E+04
12	-366	398	371.73	92.69	1.04	3.20E+03	107.75	1.49E+04
13	-366	398	388.01	96.76	1.04	1.91E+03	100.05	2.00E+04
14	-477	493	485.51	121.15	0.99	8.41E+03	279.55	2.23E+04
15	-537	555	544.97	136.02	0.96	2.81E+04	328.61	2.35E+04
16	-571	582	575.78	143.73	0.42	1.67E+02	192.25	1.47E+04
17	-612	622	617.18	154.08	0.35	2.85E+01	176.46	1.30E+04
18	-732	754	743.66	185.71	1.13	2.18E+03	328.5	2.72E+04
19	-788	803	795.08	198.57	1.19	3.06E+02	229.87	1.75E+04
20	-947	960	955.13	238.6	1.06	1.35E+03	194.99	1.33E+04
21	-1052	1065	1059.38	264.68	1.04	1.60E+04	221.04	1.19E+04
22	-1110	1126	1118.82	279.54	1.06	6.71E+03	223.69	1.39E+04
23	-1173	1189	1181.62	295.25	0.78	6.47E+02	206.03	1.33E+04
24	-1209	1224	1215.9	303.82	0.99	2.18E+02	196.19	1.27E+04
25	-1401	1420	1408.21	351.92	0.95	1.12E+03	206.49	1.18E+04
26	-1590	1615	1603.12	400.66	1.11	3.32E+03	245.53	1.34E+04
27	-2031	2056	2044.38	511.01	2.53	1.50E+05	444.84	1.14E+04
28	-2320	2341	2333.41	583.28	1.22	9.55E+02	119.61	3.56E+03
29	-2371	2396	2383.98	595.92	1.29	1.04E+05	347.99	4.11E+03
30	-2425	2446	2436.32	609	1.62	1.99E+03	122.12	3.45E+03
31	-2513	2552	2520.31	630	1.32	7.28E+02	46.18	2.21E+03
32	-2513	2552	2539.49	634.8	1.32	2.53E+04	163.09	2.34E+03
33	-2900	2917	2910.85	727.63	0.48	2.03E+02	78.36	1.82E+03
34	-3173	3194	3180.74	795.08	1.45	2.04E+02	87.11	1.96E+03
35	-3326	3349	3337.21	834.18	1.43	5.77E+03	120.39	2.18E+03
36	-3636	3659	3645.89	911.31	1.55	1.15E+03	90.99	1.78E+03
37	-3846	3889	3860.22	964.85	1.6	2.18E+02	31.58	1.29E+03
38	-3846	3889	3877.04	969.05	1.6	5.99E+02	40.19	1.36E+03
39	-3997	4012	4004.45	1000.87	0.4	7.92E+01	54.66	9.67E+02
40	-4300	4321	4311.2	1077.47	1.38	4.60E+02	64.93	1.00E+03
41	-4417	4441	4427.78	1106.57	1.47	7.70E+02	77.38	1.26E+03
42	-4449	4492	4463.87	1115.58	1.65	1.13E+04	110.16	1.04E+03
43	-4449	4492	4482.83	1120.32	1.65	4.75E+02	33.73	1.02E+03
44	-4684	4705	4694.49	1173.15	0.63	2.86E+02	62.16	9.53E+02
45	-4808	4828	4818.57	1204.11	0.44	2.50E+02	60.81	9.49E+02
46	-4942	4966	4954.73	1238.09	1.22	2.42E+02	66.09	9.98E+02
47	-5167	5191	5177.13	1293.57	0.78	1.73E+02	57.39	7.56E+02
48	-5318	5341	5331.81	1332.15	0.52	1.24E+02	52.67	6.61E+02
49	-5504	5521	5513.22	1377.39	1.37	1.92E+02	38.69	4.01E+02
50	-5625	5640	5634.92	1407.73	0.38	6.22E+01	33.79	3.59E+02
51	-5833	5861	5846.68	1460.52	1.84	7.42E+03	100.45	5.78E+02
52	-5982	5996	5988.63	1495.89	0.52	2.09E+01	27.29	2.49E+02
53	-6347	6384	6356.7	1587.58	1.85	1.41E+02	19.05	3.01E+02
54	-6347	6384	6374.27	1591.96	1.85	2.38E+02	22.14	3.07E+02
55	-6914	6931	6924.2	1728.85	1.41	7.31E+01	27.56	2.10E+02
56	-7050	7075	7063.4	1763.48	1.43	7.05E+02	42.38	2.57E+02
57	-7386	7404	7396.2	1846.24	0.35	1.35E+02	26.65	1.70E+02
